county,sub_county,ward,facility_code,facility_name,keph_level,operation_status,lat,lon,available_chws,ward_population,vulnerability_score,under5_share,distance_to_level3_km,terrain_class,phc_access_1h_share,travel_friction_phc_1h,stunting_u5_pct,wasting_u5_pct,underweight_u5_pct,facility_delivery_pct,skilled_delivery_pct,anc4_pct,maternal_risk_index,hh_itn_ownership_pct,malaria_itn_gap_pct,ccri_malaria_pf_score,ccri_riverine_flood_score,ccri_drought_score,ccri_food_insecurity_score,ccri_child_nutrition_score,ccri_maternal_health_score,ccri_risk_index,flood_risk_flag,seasonal_mobility_flag,chw_monthly_stipend_kes,anc_skilled_pct,poverty_overall_pct,linked_chu_count,real_chw_headcount,adm2_match_level,adm2_pcode,adm2_name
KILIFI,kaloleni,KALOLENI,24131.0,Milalani Dispensary,Level 2,Operational,-3.4745903,39.5166723,2,23400,0.76,0.13836680838586718,20.883,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003013,Kaloleni
KWALE,matuga,MKONGANI,24128.0,Miatsani Dispensary,Level 2,Operational,-4.3959567,39.3108753,2,19800,0.8,0.13139450546197343,12.611,semi_arid,1.0,0.0,22.7,6.2,13.7,84.1,89.3,71.9,15.9,74.0,26.0,9.2,8.5,8.6,2.5,7.8,5.6,6.8,1.0,0,5000,99.3,,0,,subcounty_exact,KE002009,Matuga
KILIFI,kaloleni,KALOLENI,24127.0,Mikiriani Dispensary,Level 2,Operational,-3.4745903,39.5166723,2,23400,0.76,0.13836680838586718,20.883,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003013,Kaloleni
KILIFI,kilifi north,MATSANGONI,24115.0,Chumani Dispensary,Level 2,Operational,-3.4745903,39.5166723,2,22000,0.76,0.1288760154851222,20.883,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003011,Kilifi North
KWALE,kinango,NDAVAYA,24111.0,Mbuluni dispensary,Level 2,Operational,-4.3959567,39.3108753,2,19800,0.8,0.16069809559414464,12.611,semi_arid,1.0,0.0,22.7,6.2,13.7,84.1,89.3,71.9,15.9,74.0,26.0,9.2,8.5,8.6,2.5,7.8,5.6,6.8,1.0,0,5000,99.3,,0,,subcounty_exact,KE002010,Kinango
MANDERA,banissa,DERKHALE,24065.0,Tarama Dispensary,Level 2,Operational,3.16894,40.0978592,2,12100,0.9,0.2004659940560853,213.769,arid,0.0,1.0,20.5,17.3,23.2,50.4,54.7,40.4,49.6,15.7,84.3,9.6,8.2,1.4,10.0,7.5,6.6,8.5,1.0,1,5000,76.4,72.9,0,,subcounty_exact,KE009040,Banissa
KILIFI,magarini,MAGARINI,24048.0,Tabasamu medical clinic,Level 2,Operational,-3.5226766,39.5291057,2,24500,0.76,0.1430688616634187,17.947,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003017,Magarini
KILIFI,kilifi north,DABASO,24045.0,Med-Line Health Care,Level 2,Operational,-3.9551348,39.7471238,2,22000,0.76,0.1288760154851222,0.476,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003011,Kilifi North
KILIFI,malindi,MALINDI TOWN,24044.0,Mzalendo Medical Clinic,Level 2,Operational,-3.5226766,39.5291057,2,31200,0.76,0.12831770034594672,17.947,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003016,Malindi
KILIFI,kilifi north,DABASO,24043.0,Clarance Park Medical Clinic (Dabaso),Level 2,Operational,-3.5226766,39.5291057,2,22000,0.76,0.1288760154851222,17.947,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003011,Kilifi North
